title,artist,debut
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,1968-04-13
Wear It On Our Face,The Dells,1968-04-13
Do You Know The Way To San José,Dionne Warwick,1968-04-13
I Can't Believe I'm Losing You,Frank Sinatra,1968-04-13
(You Keep Me) Hangin' On,Joe Simon,1968-04-13
Funky Walk Part I (East),Dyke And The Blazers,1968-04-13
Loving You Has Made Me Bananas,Guy Marks,1968-04-13
If You Don't Want My Love,Robert John,1968-04-13
Anything,Eric Burdon & The Animals,1968-04-13
Goin' Away,The Fireballs,1968-04-13
Baby Make Your Own Sweet Music,Jay And The Techniques,1968-04-13
Like To Get To Know You,Spanky And Our Gang,1968-04-20
Impossible Mission (Mission Impossible),Soul Survivors,1968-04-20
Paying The Cost To Be The Boss,B.B. King,1968-04-20
We're Rolling On (Part I),The Impressions,1968-04-20
My Girl/Hey Girl,Bobby Vee,1968-04-20
Cabaret,Herb Alpert & The Tijuana Brass,1968-04-20
I Promise To Wait My Love,Martha Reeves & The Vandellas,1968-04-20
May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.,1968-04-20
You'll Never Walk Alone,Elvis Presley With The Jordanaires,1968-04-20
Love In Them There Hills,The Vibrations,1968-04-20
The Shadow Of Your Love,5 Stairsteps and Cubie,1968-04-20
Never Get Enough Of Your Love,"Oscar Toney, Jr.",1968-04-20
Friends,The Beach Boys,1968-04-20
Does Your Mama Know About Me,Bobby Taylor & The Vancouvers,1968-04-20
Greasy Heart,Jefferson Airplane,1968-04-20
Unwind,Ray Stevens,1968-04-20
Louisiana Man,Bobbie Gentry,1968-04-20
Mrs. Robinson,Simon & Garfunkel,1968-04-27
Chain Gang,Jackie Wilson & Count Basie,1968-04-27
The Happy Song (Dum-Dum),Otis Redding,1968-04-27
I'm Sorry,The Delfonics,1968-04-27
I Can Remember,James & Bobby Purify,1968-04-27
Lili Marlene,Al Martino,1968-04-27
If I Were A Carpenter,Four Tops,1968-04-27
A Tribute To A King,William Bell,1968-04-27
I Could Never Love Another (After Loving You),The Temptations,1968-05-04
Yummy Yummy Yummy,Ohio Express,1968-05-04
Soul Train,Classics IV,1968-05-04
Never Give You Up,Jerry Butler,1968-05-04
I Have A Dream,"Rev. Martin Luther King, Jr.",1968-05-04
He Don't Really Love You,The Delfonics,1968-05-04
I Wish I Knew (How It Would Feel To Be Free),Solomon Burke,1968-05-04
Angel Of The Morning,Merrilee Rush & The Turnabouts,1968-05-04
Here's To You,Hamilton Camp,1968-05-04
How'd We Ever Get This Way,Andy Kim,1968-05-04
The Look Of Love,Sergio Mendes & Brasil '66,1968-05-11
MacArthur Park,Richard Harris,1968-05-11
Love In Every Room,Paul Mauriat And His Orchestra,1968-05-11
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,1968-05-11
You Ain't Going Nowhere,The Byrds,1968-05-11
Sleepy Joe,Herman's Hermits,1968-05-11
"Face It Girl, It's Over",Nancy Wilson,1968-05-11
Apologize,Ed Ames,1968-05-11
Brooklyn Roads,Neil Diamond,1968-05-11
Anyone For Tennis,Cream,1968-05-11
She's A Heartbreaker,Gene Pitney,1968-05-11
Think,Aretha Franklin,1968-05-18
Jelly Jungle (Of Orange Marmalade),Lemon Pipers,1968-05-18
This Guy's In Love With You,Herb Alpert,1968-05-18
Time For Livin',The Association,1968-05-18
I'll Never Do You Wrong,Joe Tex,1968-05-18
Tip-Toe Thru' The Tulips With Me,Tiny Tim,1968-05-18
My Shy Violet,The Mills Brothers,1968-05-18
I Got You Babe,Etta James,1968-05-18
United,Peaches & Herb,1968-05-18
It's Over,Eddy Arnold,1968-05-18
Reach Out Of The Darkness,Friend And Lover,1968-05-18
I Can't Make It Alone,Bill Medley,1968-05-18
Pictures Of Matchstick Men,The Status Quo,1968-05-18
The Doctor,Mary Wells,1968-05-18
The Horse,Cliff Nobles & Co.,1968-05-25
Licking Stick - Licking Stick (Part 1),James Brown And The Famous Flames,1968-05-25
You Don't Know What You Mean To Me,Sam & Dave,1968-05-25
America Is My Home - Pt. 1,James Brown And The Famous Flames,1968-05-25
Climb Every Mountain,The Hesitations,1968-05-25
Hold On,Radiants,1968-05-25
Lonely Is The Name,Sammy Davis Jr.,1968-05-25
Folsom Prison Blues,Johnny Cash,1968-05-25
Bring A Little Lovin',Los Bravos,1968-05-25
Don't Sign The Paper Baby (I Want You Back),Jimmy Delphs,1968-05-25
"Ready, Willing and Able",The American Breed,1968-05-25
Choo Choo Train,The Box Tops,1968-06-01
Yester Love,Smokey Robinson & The Miracles,1968-06-01
Indian Lake,The Cowsills,1968-06-01
Here Comes The Judge,Shorty Long,1968-06-01
Sky Pilot (Part One),Eric Burdon & The Animals,1968-06-01
San Francisco Girls (Return of the Native),Fever Tree,1968-06-01
Here Come Da Judge,The Buena Vistas,1968-06-01
Stoned Soul Picnic,The 5th Dimension,1968-06-01
Funky Fever,Clarence Carter,1968-06-01
Ain't Nothin' But A House Party,The Show Stoppers,1968-06-01
Here Come The Judge,The Magistrates,1968-06-01
Jumpin' Jack Flash,The Rolling Stones,1968-06-08
Some Things You Never Get Used To,Diana Ross & The Supremes,1968-06-08
Lady Willpower,Gary Puckett And The Union Gap,1968-06-08
It Should Have Been Me,Gladys Knight And The Pips,1968-06-08
Back In Love Again,The Buckinghams,1968-06-08
Safe In My Garden,The Mamas & The Papas,1968-06-08
Mountain Of Love,Ronnie Dove,1968-06-08
Grazing In The Grass,Hugh Masekela,1968-06-08
Here I Am Baby,The Marvelettes,1968-06-08
Eleanor Rigby,Ray Charles,1968-06-08
Lover's Holiday,Peggy Scott & Jo Jo Benson,1968-06-08
Let Me Be Lonely,Dionne Warwick,1968-06-08
Baby You Come Rollin' Across My Mind,The Peppermint Trolley Company,1968-06-08
Sweet Memories,Andy Williams,1968-06-08
Congratulations,Cliff Richard,1968-06-08
D. W. Washburn,The Monkees,1968-06-15
You Send Me,Aretha Franklin,1968-06-15
Here Comes The Judge,Pigmeat Markham,1968-06-15
It's Nice To Be With You,The Monkees,1968-06-15
Understanding,Ray Charles,1968-06-15
Can't You See Me Cry,The New Colony Six,1968-06-15
Let Yourself Go,Elvis Presley With The Jordanaires,1968-06-15
"Turn Around, Look At Me",The Vogues,1968-06-15
Listen Here,Eddie Harris,1968-06-15
Forget Me Not,Martha Reeves & The Vandellas,1968-06-15
Valley Of The Dolls,King Curtis & The Kingpins,1968-06-15
People Sure Act Funny,Arthur Conley,1968-06-22
The Story Of Rock And Roll,The Turtles,1968-06-22
Hurdy Gurdy Man,Donovan,1968-06-22
Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay,1968-06-22
"Be Young, Be Foolish, Be Happy",The Tams,1968-06-22
Turn On Your Love Light,Bill Black's Combo,1968-06-22
D-I-V-O-R-C-E,Tammy Wynette,1968-06-22
(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,1968-06-22
Young Boy,Barbara Greene,1968-06-22
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,1968-06-22
Classical Gas,Mason Williams,1968-06-22
I'm A Midnight Mover,Wilson Pickett,1968-06-22
The Eyes Of A New York Woman,B.J. Thomas,1968-06-22
Sealed With A Kiss,Gary Lewis And The Playboys,1968-06-22
Young Birds Fly,The Cryan' Shames,1968-06-22
Hitch It To The Horse,The Fantastic Johnny C,1968-06-29
With Pen In Hand,Billy Vera,1968-06-29
Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus",1968-06-29
Stay In My Corner,The Dells,1968-06-29
Autumn Of My Life,Bobby Goldsboro,1968-06-29
Dreams Of The Everyday Housewife,Wayne Newton,1968-06-29
Look Over Your Shoulder,The O'Jays,1968-06-29
Competition Ain't Nothin',Little Carl Carlton,1968-06-29
Journey To The Center Of The Mind,The Amboy Dukes,1968-06-29
Lovin' Season,Gene And Debbe,1968-06-29
Dreams Of The Everyday Housewife,Glen Campbell,1968-07-06
"Hello, I Love You",The Doors,1968-07-06
Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,1968-07-06
Amen,Otis Redding,1968-07-06
Georgia On My Mind,Wes Montgomery,1968-07-06
To Love Somebody,The Sweet Inspirations,1968-07-06
Dream A Little Dream Of Me,Mama Cass With The Mamas & The Papas,1968-07-06
What's Made Milwaukee Famous (Has Made A Loser Out Of Me),Jerry Lee Lewis,1968-07-06
Just A Little Bit,Blue Cheer,1968-07-06
Little Green Apples,Patti Page,1968-07-06
(Love Is Like A) Baseball Game,The Intruders,1968-07-06
Send My Baby Back,Freddie Hughes,1968-07-06
Born To Be Wild,Steppenwolf,1968-07-13
The Impossible Dream,Roger Williams,1968-07-13
Soul-Limbo,Booker T. & The MG's,1968-07-13
Prayer Meetin',Willie Mitchell,1968-07-13
Hard To Handle,Otis Redding,1968-07-13
Snoopy For President,The Royal Guardsmen,1968-07-13
Mrs. Bluebird,Eternity's Children,1968-07-13
Slip Away,Clarence Carter,1968-07-13
Love Makes A Woman,Barbara Acklin,1968-07-13
Two-Bit Manchild,Neil Diamond,1968-07-13
People Got To Be Free,The Rascals,1968-07-20
Halfway To Paradise,Bobby Vinton,1968-07-20
You Met Your Match,Stevie Wonder,1968-07-20
I Can't Stop Dancing,Archie Bell & The Drells,1968-07-20
God Bless Our Love,The Ballads,1968-07-20
Don't Give Up,Petula Clark,1968-07-20
I Get The Sweetest Feeling,Jackie Wilson,1968-07-20
And Suddenly,The Cherry People,1968-07-20
Yesterday's Dreams,Four Tops,1968-07-20
I Loved And I Lost,The Impressions,1968-07-20
Tuesday Afternoon (Forever Afternoon),The Moody Blues,1968-07-20
Give Me One More Chance,Wilmer And The Dukes,1968-07-20
Light My Fire,Jose Feliciano,1968-07-27
"I Guess I'll Have To Cry, Cry, Cry",James Brown And The Famous Flames,1968-07-27
Happy,Nancy Sinatra,1968-07-27
You're All I Need To Get By,Marvin Gaye & Tammi Terrell,1968-07-27
"1, 2, 3, Red Light",1910 Fruitgum Co.,1968-07-27
Breaking Up Is Hard To Do,The Happenings,1968-07-27
Do It Again,The Beach Boys,1968-07-27
Somebody Cares,Tommy James And The Shondells,1968-07-27
I've Never Found A Girl (To Love Me Like You Do),Eddie Floyd,1968-07-27
Life,Sly & The Family Stone,1968-07-27
I'm Gonna Do What They Do To Me,B.B. King,1968-07-27
Mr. Bojangles,Jerry Jeff Walker,1968-07-27
Never Going Back,The Lovin' Spoonful,1968-07-27
Soul Meeting,The Soul Clan,1968-07-27
Brown Eyed Woman,Bill Medley,1968-08-03
Please Return Your Love To Me,The Temptations,1968-08-03
Can't You Find Another Way (Of Doing It),Sam & Dave,1968-08-03
Mister Bo Jangles,Bobby Cole,1968-08-03
Down At Lulu's,Ohio Express,1968-08-03
Mr. Businessman,Ray Stevens,1968-08-03
Girls Can't Do What The Guys Do,Betty Wright,1968-08-03
Anyway That You Want Me,The American Breed,1968-08-03
Give A Damn,Spanky And Our Gang,1968-08-03
Workin' On A Groovy Thing,Patti Drew,1968-08-03
Sudden Stop,Percy Sledge,1968-08-03
Montage From How Sweet It Is (I Know That You Know),The Love Generation,1968-08-03
Sally Had A Party,Flavor,1968-08-03
The Fool On The Hill,Sergio Mendes & Brasil '66,1968-08-10
Morning Dew,Lulu,1968-08-10
Keep The One You Got,Joe Tex,1968-08-10
Magic Bus,The Who,1968-08-10
Hip City - Pt. 2,Jr. Walker & The All Stars,1968-08-10
I Heard It Thru The Grapevine,King Curtis & The Kingpins,1968-08-10
I Can't Dance To That Music You're Playin',Martha Reeves & The Vandellas,1968-08-10
I Am Your Man,Bobby Taylor & The Vancouvers,1968-08-10
Time Has Come Today,The Chambers Brothers,1968-08-10
Tell Someone You Love Them,"Dino, Desi & Billy",1968-08-10
M'Lady,Sly & The Family Stone,1968-08-10
Mister Nico,Four Jacks And A Jill,1968-08-10
On The Road Again,Canned Heat,1968-08-10
The House That Jack Built,Aretha Franklin,1968-08-17
I Say A Little Prayer,Aretha Franklin,1968-08-17
Hush,Deep Purple,1968-08-17
Special Occasion,Smokey Robinson & The Miracles,1968-08-17
Girl Watcher,The O'Kaysions,1968-08-17
The Snake,Al Wilson,1968-08-17
Little Green Apples,O.C. Smith,1968-08-17
I've Gotta Get A Message To You,Bee Gees,1968-08-17
Fly Me To The Moon,Bobby Womack,1968-08-17
Harper Valley P.T.A.,Jeannie C. Riley,1968-08-24
I Wish It Would Rain,Gladys Knight And The Pips,1968-08-24
Six Man Band,The Association,1968-08-24
Don't Change Your Love,Five Stairsteps & Cubie,1968-08-24
In-A-Gadda-Da-Vida,Iron Butterfly,1968-08-24
The Woman I Love,B.B. King,1968-08-24
Who Is Gonna Love Me?,Dionne Warwick,1968-08-24
Bring Back Those Rockabye Baby Days,Tiny Tim,1968-08-24
The Funky Judge,Bull & The Matadors,1968-08-24
She's About A Mover,Otis Clay,1968-08-24
The Weight,Jackie DeShannon,1968-08-24
To Wait For Love,Herb Alpert,1968-08-31
Help Yourself,Tom Jones,1968-08-31
(The Lament Of The Cherokee) Indian Reservation,Don Fardon,1968-08-31
Midnight Confessions,The Grass Roots,1968-08-31
Barefoot In Baltimore,Strawberry Alarm Clock,1968-08-31
Down On Me,Big Brother And The Holding Company,1968-08-31
Unchained Melody,The Sweet Inspirations,1968-08-31
My Way Of Life,Frank Sinatra,1968-08-31
Down Here On The Ground,Lou Rawls,1968-08-31
Piece Of My Heart,Big Brother And The Holding Company,1968-08-31
Private Number,Judy Clay & William Bell,1968-08-31
"Hey, Western Union Man",Jerry Butler,1968-08-31
The Weight,The Band,1968-08-31
(There's) Always Something There To Remind Me,Dionne Warwick,1968-08-31
Break Your Promise,The Delfonics,1968-08-31
Do What You Gotta Do,Bobby Vee,1968-08-31
That Kind Of Woman,Merrilee Rush & The Turnabouts,1968-08-31
The Mule,The James Boys,1968-08-31
Help Yourself (To All Of My Lovin'),James & Bobby Purify,1968-08-31
If Love Is In Your Heart,Friend And Lover,1968-08-31
Since You've Been Gone,Ramsey Lewis,1968-08-31
Naturally Stoned,The Avant-Garde,1968-08-31
Say It Loud - I'm Black And I'm Proud (Part 1),James Brown,1968-09-07
My Special Angel,The Vogues,1968-09-07
"Baby, Come Back",The Equals,1968-09-07
Fire,The Crazy World Of Arthur Brown,1968-09-07
Street Fighting Man,The Rolling Stones,1968-09-07
Then You Can Tell Me Goodbye,Eddy Arnold,1968-09-07
"Shoot'em Up, Baby",Andy Kim,1968-09-07
Shape Of Things To Come,Max Frost And The Troopers,1968-09-07
Suzie Q. (Part One),Creedence Clearwater Revival,1968-09-07
Fool For You,The Impressions,1968-09-07
Lady Madonna,Fats Domino,1968-09-07
Hey Jude,The Beatles,1968-09-14
Revolution,The Beatles,1968-09-14
Chained,Marvin Gaye,1968-09-14
I Met Her In Church,The Box Tops,1968-09-14
Poor Baby,The Cowsills,1968-09-14
For The Love Of Ivy,The Mamas & The Papas,1968-09-14
Do The Best You Can,The Hollies,1968-09-14
"The Biplane, Ever More",The Irish Rovers,1968-09-14
(I Can Feel Your Love) Slipping Away,Barbara Mason,1968-09-14
Hold Me Tight,Johnny Nash,1968-09-14
Horse Fever,Cliff Nobles & Co.,1968-09-14
Over You,Gary Puckett And The Union Gap,1968-09-21
All Along The Watchtower,The Jimi Hendrix Experience,1968-09-21
I Found A True Love,Wilson Pickett,1968-09-21
There Was A Time,Gene Chandler,1968-09-21
Battle Of New Orleans,Harpers Bizarre,1968-09-21
The Choice,The O'Jays,1968-09-21
Elenore,The Turtles,1968-09-21
Tomboy,Ronnie Dove,1968-09-21
I Love You Madly,Fantastic Four,1968-09-21
Court Of Love,The Unifics,1968-09-21
I've Got Dreams To Remember,Otis Redding,1968-09-28
Those Were The Days,Mary Hopkin,1968-09-28
Bang-Shang-A-Lang,The Archies,1968-09-28
Ice In The Sun,The Status Quo,1968-09-28
"Oh Lord, Why Lord",Los Pop Tops,1968-09-28
Message From Maria,Joe Simon,1968-09-28
Do The Choo Choo,Archie Bell & The Drells,1968-09-28
Sweet Young Thing Like You,Ray Charles,1968-09-28
I Ain't Got To Love Nobody Else,The Masqueraders,1968-09-28
Sweet Blindness,The 5th Dimension,1968-09-28
Puffin' On Down The Track,Hugh Masekela,1968-09-28
The B.B. Jones,B.B. King,1968-09-28
Almost In Love,Elvis Presley With The Jordanaires,1968-09-28
Peace Of Mind,Nancy Wilson,1968-09-28
White Room,Cream,1968-10-05
Lalena,Donovan,1968-10-05
Destination: Anywhere,The Marvelettes,1968-10-05
Take Me For A Little While,Vanilla Fudge,1968-10-05
Alfie,Eivets Rednow,1968-10-05
Magic Carpet Ride,Steppenwolf,1968-10-05
You Got The Love,Professor Morrison's Lollipop,1968-10-05
Quick Joey Small (Run Joey Run),Kasenetz-Katz Singing Orchestral Circus,1968-10-05
You Put It On Me,B.B. King,1968-10-05
Up-Hard,Willie Mitchell,1968-10-05
Nitty Gritty,Ricardo Ray,1968-10-05
I'm In A Different World,Four Tops,1968-10-05
Smell Of Incense,Southwest F.O.B.,1968-10-05
Sunday Sun,Neil Diamond,1968-10-05
Keep On Lovin' Me Honey,Marvin Gaye & Tammi Terrell,1968-10-12
Always Together,The Dells,1968-10-12
Hitchcock Railway,Jose Feliciano,1968-10-12
A Little Less Conversation,Elvis Presley With The Jordanaires,1968-10-12
Cinderella Sunshine,Paul Revere & The Raiders Featuring Mark Lindsay,1968-10-12
On The Way Home,Buffalo Springfield,1968-10-12
Porpoise Song,The Monkees,1968-10-12
Harper Valley P.T.A.,King Curtis & The Kingpins,1968-10-12
Cycles,Frank Sinatra,1968-10-12
Baroque-A-Nova,Mason Williams,1968-10-12
Little Arrows,Leapy Lee,1968-10-12
Do Something To Me,Tommy James And The Shondells,1968-10-12
"You Need Me, Baby",Joe Tex,1968-10-12
Ride My See-Saw,The Moody Blues,1968-10-12
Love Child,Diana Ross & The Supremes,1968-10-19
Hi-Heel Sneakers,Jose Feliciano,1968-10-19
Chewy Chewy,Ohio Express,1968-10-19
Pickin' Wild Mountain Berries,Peggy Scott & Jo Jo Benson,1968-10-19
Bring It On Home To Me,Eddie Floyd,1968-10-19
Where Do I Go,Carla Thomas,1968-10-19
From The Teacher To The Preacher,Gene Chandler & Barbara Acklin,1968-10-19
"Listen, They're Playing My Song",Ray Charles,1968-10-19
Battle Hymn Of The Republic,Andy Williams with the St. Charles Borromeo Choir,1968-10-19
Soul Drippin',The Mauds,1968-10-19
Les Bicyclettes De Belsize,Engelbert Humperdinck,1968-10-19
Isn't It Lonely Together,Robert Knight,1968-10-19
Never My Love,The Sandpebbles,1968-10-19
Do What You Gotta Do,Nina Simone,1968-10-19
Who's Making Love,Johnnie Taylor,1968-10-26
"Abraham, Martin And John",Dion,1968-10-26
Cinnamon,Derek,1968-10-26
Shake,Shadows Of Knight,1968-10-26
The Straight Life,Bobby Goldsboro,1968-10-26
Harper Valley P.T.A. (Later That Same Day),Ben Colder,1968-10-26
1432 Franklin Pike Circle Hero,Bobby Russell,1968-10-26
Stormy,Classics IV Featuring Dennis Yost,1968-10-26
"Shame, Shame",Magic Lanterns,1968-10-26
It's Crazy,Eddie Harris,1968-10-26
Goody Goody Gumdrops,1910 Fruitgum Co.,1968-10-26
I Walk Alone,Marty Robbins,1968-10-26
Peace Brother Peace,Bill Medley,1968-10-26
Aunt Dora's Love Soul Shack,Arthur Conley,1968-10-26
Mornin' Glory,Bobbie Gentry & Glen Campbell,1968-10-26
Golden Gate Park,Rejoice!,1968-10-26
Do Your Own Thing,Brook Benton,1968-10-26
Jesse Brady,The McCoys,1968-10-26
I Love How You Love Me,Bobby Vinton,1968-11-02
"Promises, Promises",Dionne Warwick,1968-11-02
Wichita Lineman,Glen Campbell,1968-11-02
For Once In My Life,Stevie Wonder,1968-11-02
For Once In My Life,Jackie Wilson,1968-11-02
Everybody Got To Believe In Somebody,Sam & Dave,1968-11-02
Sweet Darlin',Martha Reeves & The Vandellas,1968-11-02
Fire,Five By Five,1968-11-02
The Star-Spangled Banner,Jose Feliciano,1968-11-02
Crown Of Creation,Jefferson Airplane,1968-11-02
Billy You're My Friend,Gene Pitney,1968-11-02
Not Enough Indians,Dean Martin,1968-11-02
California Earthquake,Mama Cass,1968-11-02
Talking About My Baby,Gloria Walker,1968-11-02
The Yard Went On Forever,Richard Harris,1968-11-02
"Come On, React!",The Fireballs,1968-11-02
Too Weak To Fight,Clarence Carter,1968-11-09
Both Sides Now,Judy Collins,1968-11-09
Goodbye My Love,James Brown,1968-11-09
Slow Drag,The Intruders,1968-11-09
Kentucky Woman,Deep Purple,1968-11-09
Hang 'Em High,Booker T. & The MG's,1968-11-09
I Put A Spell On You,Creedence Clearwater Revival,1968-11-09
Let's Make A Promise,Peaches & Herb,1968-11-09
Stand By Your Man,Tammy Wynette,1968-11-09
A Whiter Shade Of Pale,The Hesitations,1968-11-09
